Date,Open,High,Low,Close,Adj Close,Volume,MA_30,MA_90,Daily_Return,Volatility,Year,Month,EMA_30,Lag_1,Lag_2,Lag_3
2015-10-08,110.190002,110.190002,108.209999,109.5,101.190491,61979600,110.8839997,113.12080010000001,-0.011554423285380255,2.3149122429885205,2015,10,112.55120571999937,110.779999,111.309998,110.779999
2015-10-09,110.0,112.279999,109.489998,112.120003,103.611687,52766100,110.62500010000001,112.91580010000001,0.023926968036529717,2.3125475547225727,2015,10,112.52338618967683,109.5,110.779999,111.309998
2015-10-12,112.730003,112.75,111.440002,111.599998,103.131142,30467200,110.5409997,112.7218,-0.004637932448146587,2.3083900420991785,2015,10,112.46381275808477,112.120003,109.5,110.779999
2015-10-13,110.82,112.449997,110.68,111.790001,103.306717,33049300,110.81400000000001,112.58879998,0.001702535872805333,2.3078224263902767,2015,10,112.42034103175673,111.599998,112.120003,109.5
2015-10-14,111.290001,111.519997,109.559998,110.209999,101.846626,44462400,110.8049996,112.50019997999999,-0.014133661202847758,2.1817455118781344,2015,10,112.2777383200305,111.790001,111.599998,112.120003
2015-10-15,110.93,112.099998,110.489998,111.860001,103.371414,37673500,111.0329995,112.42939996000001,0.014971436484633394,2.183221837281743,2015,10,112.25078752518982,110.209999,111.790001,111.599998
2015-10-16,111.779999,112.0,110.529999,111.040001,102.613632,39232600,111.09899990000001,112.34760004000002,-0.007330591745658865,2.1663005394179273,2015,10,112.17267226550017,111.860001,110.209999,111.790001
2015-10-19,110.800003,111.75,110.110001,111.730003,103.251282,29759200,111.1940003,112.27180016,0.006213994900810427,2.092604887507514,2015,10,112.14411295804854,111.040001,111.860001,110.209999
2015-10-20,111.339996,114.169998,110.82,113.769997,105.136467,48967800,111.44000020000001,112.15280008000002,0.01825824707084278,2.1075797486013967,2015,10,112.24900870269057,111.730003,111.040001,111.860001
2015-10-21,114.0,115.580002,113.699997,113.760002,105.127235,41795200,111.7380005,112.15820016000002,-8.785268755873155e-05,2.0751501629038094,2015,10,112.34649214122666,113.769997,111.730003,111.040001
2015-10-22,114.330002,115.5,114.099998,115.5,106.735191,41654100,112.33800049999999,112.16340020000001,0.015295340800011603,2.1434626740532283,2015,10,112.54994426114753,113.760002,113.769997,111.730003
2015-10-23,116.699997,119.230003,116.330002,119.080002,110.04351,59366900,113.03400040000001,112.2420002,0.030995688311688196,2.4303017168967664,2015,10,112.97123830881543,115.5,113.760002,113.769997
2015-10-26,118.080002,118.129997,114.919998,115.279999,106.531876,66333800,113.40200050000001,112.22840020000001,-0.03191134477810964,2.429247802292794,2015,10,113.12019061147251,119.080002,115.5,113.760002
2015-10-27,115.400002,116.540001,113.989998,114.550003,105.857277,69884400,113.67800070000001,112.17620018,-0.006332373406769398,2.363911109902265,2015,10,113.21243657202268,115.279999,119.080002,115.5
2015-10-28,116.93,119.300003,116.059998,119.269997,110.219093,85551400,114.5840005,112.23160012,0.04120466064064621,2.5652280148662667,2015,10,113.60324692221477,114.550003,115.279999,119.080002
2015-10-29,118.699997,120.690002,118.269997,120.529999,111.383469,51227300,115.4510003,112.34200006,0.010564282985602746,2.919166157037385,2015,10,114.05013415303964,119.269997,114.550003,115.279999
2015-10-30,120.989998,121.220001,119.449997,119.5,110.431648,49365300,116.2970002,112.47900002,-0.00854558208367695,3.1459887882280086,2015,10,114.40173840123062,120.529999,119.269997,114.550003
2015-11-02,120.800003,121.360001,119.610001,121.18,111.984161,32203300,117.2419999,112.78739997999999,0.014058577405857697,3.4468031689783443,2015,11,114.83904560115123,119.5,120.529999,119.269997
2015-11-03,120.790001,123.489998,120.699997,122.57,113.268661,45519000,118.1220002,113.17639992000001,0.011470539693018589,3.8254800896488175,2015,11,115.33781685268985,121.18,119.5,120.529999
2015-11-04,123.129997,123.82,121.620003,122.0,112.74192,44886100,118.946,113.54159996,-0.004650403850860685,4.109090672746355,2015,11,115.76763512025825,122.57,121.18,119.5
2015-11-05,121.849998,122.690002,120.18,120.919998,112.222191,39552700,119.48799980000001,113.76619988,-0.008852475409836025,4.294770721775637,2015,11,116.10004562862869,122.0,122.57,121.18
2015-11-06,121.110001,121.809998,120.620003,121.059998,112.352112,33042300,119.68599940000001,113.92899987999999,0.0011577902937112139,4.471736278937783,2015,11,116.42004255581394,120.919998,122.0,122.57
2015-11-09,120.959999,121.809998,120.050003,120.57,111.897385,33871400,120.2149995,114.07459985999999,-0.0040475632586743915,4.590599520466859,2015,11,116.68778174576143,121.059998,120.919998,122.0
2015-11-10,116.900002,118.07,116.059998,116.769997,108.370689,59127900,120.4369989,114.15479975999999,-0.03151698598324615,4.4772612929560545,2015,11,116.6930859557123,120.57,121.059998,120.919998
2015-11-11,116.370003,117.419998,115.209999,116.110001,107.758179,45218000,120.12099930000002,114.32259975999999,-0.005652102568778905,4.392870901104416,2015,11,116.6554675714728,116.769997,120.57,121.059998
2015-11-12,116.260002,116.82,115.650002,115.720001,107.396225,32525600,119.6399995,114.39019986000001,-0.003358883788141531,4.264609376344353,2015,11,116.59511488944229,116.110001,116.769997,120.57
2015-11-13,115.199997,115.57,112.269997,112.339996,104.259354,45812400,118.92399909999999,114.42959972,-0.02920847710673624,4.199976804284577,2015,11,116.32059109012341,115.720001,116.110001,116.769997
2015-11-16,111.379997,114.239998,111.0,114.18,105.967026,38106700,118.22399909999999,114.52779978000001,0.016378886109271518,4.114905657244485,2015,11,116.18248843914772,112.339996,115.720001,116.110001
2015-11-17,114.919998,115.050003,113.32,113.690002,105.51226,27616900,117.3359993,114.55539986,-0.004291452093186154,4.0527483417365,2015,11,116.0216828624285,114.18,112.339996,115.720001
2015-11-18,115.760002,117.489998,115.5,117.290001,108.853294,46674700,116.86499940000002,114.69819984,0.031665044741577164,3.957114973821906,2015,11,116.10350983904603,113.690002,114.18,112.339996
2015-11-19,117.639999,119.75,116.760002,118.779999,110.236122,43295800,116.65099949999998,114.82239982000002,0.012703538130245162,3.8033650131543753,2015,11,116.27618655910757,117.290001,113.690002,114.18
2015-11-20,119.199997,119.919998,118.849998,119.300003,110.718719,34287100,116.475,114.92419989999999,0.004377875099998985,3.7661650117644037,2015,11,116.47127149077807,118.779999,117.290001,113.690002
2015-11-23,119.269997,119.730003,117.339996,117.75,109.280228,32482500,116.19300000000001,114.97299994000001,-0.012992480813265428,3.6619111214754034,2015,11,116.55377010427625,119.300003,118.779999,117.290001
2015-11-24,117.330002,119.349998,117.120003,118.879997,110.328941,42803200,116.404,115.0249999,0.009596577494692227,3.5681426958636533,2015,11,116.70384925883907,117.75,119.300003,118.779999
2015-11-25,119.209999,119.230003,117.919998,118.029999,109.54007,21388300,116.5959998,115.0573998,-0.007150050651498541,3.345834327620551,2015,11,116.78940730665592,118.879997,117.75,119.300003
2015-11-27,118.290001,118.410004,117.599998,117.809998,109.335907,13046400,116.80499950000001,115.1351998,-0.0018639413866301524,3.197553340027465,2015,11,116.85525186751683,118.029999,118.879997,117.75
2015-11-30,117.989998,119.410004,117.75,118.300003,109.790665,39180300,117.40100020000003,115.23219992,0.004159281965186112,2.974494651096454,2015,11,116.94846161799963,117.809998,118.029999,118.879997
2015-12-01,118.75,118.809998,116.860001,117.339996,108.899689,34852400,117.71699980000001,115.27479985999999,-0.008115020926922623,2.7656035408517115,2015,12,116.97372190070932,118.300003,117.809998,118.029999
